date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:08	41/41	---M--	200	added ('OK')	text/plain	etag:%227a3bd279251a013d56502f41591d294c-ssl%22	https://shiqiang.wang/robots.txt		(from )
16:53:08	60597/60597	---MCZ	200	added ('OK')	text/html	etag:%22507e56c4203a857d414d9f3e87619a57-ssl-df%22	https://shiqiang.wang/	/Users/xingzheng/Documents/blogDir/shiqiang.wang/index.html	(from )
16:53:12	181379/181379	---MCZ	200	added ('OK')	text/css	etag:%22a75c47ac29e13663edbb3aa6f48993c4-ssl-df%22	https://shiqiang.wang/css/wowchemy.b683e3b81dcd40947ced3ddf440ca22d.css	/Users/xingzheng/Documents/blogDir/shiqiang.wang/css/wowchemy.b683e3b81dcd40947ced3ddf440ca22d.css	(from https://shiqiang.wang/)
16:53:12	609/609	---M--	200	added ('OK')	application/rss+xml	etag:%2236bc5af21fa4e1c91c04ba690304b27d-ssl%22	https://shiqiang.wang/index.xml	/Users/xingzheng/Documents/blogDir/shiqiang.wang/index.xml	(from https://shiqiang.wang/)
16:53:14	550/550	---M--	200	added ('OK')	application/manifest+json	etag:%22921d65bd5c82f39aadfb6a1fa3d7b2be-ssl%22	https://shiqiang.wang/index.webmanifest	/Users/xingzheng/Documents/blogDir/shiqiang.wang/index.webmanifest	(from https://shiqiang.wang/)
16:53:16	2388/2388	---M--	200	added ('OK')	image/png	etag:%22bcda2c136acb6e63ca0c05ecdee4e71d-ssl%22	https://shiqiang.wang/images/icon_hue3a16edcaf2eb4438446839de7be2183_10174_32x32_fill_lanczos_center_2.png	/Users/xingzheng/Documents/blogDir/shiqiang.wang/images/icon_hue3a16edcaf2eb4438446839de7be2183_10174_32x32_fill_lanczos_center_2.png	(from https://shiqiang.wang/)
16:53:18	39894/39894	---M--	200	added ('OK')	image/png	etag:%22d9553e0b979371c5b828d4f4906efea3-ssl%22	https://shiqiang.wang/images/icon_hue3a16edcaf2eb4438446839de7be2183_10174_180x180_fill_lanczos_center_2.png	/Users/xingzheng/Documents/blogDir/shiqiang.wang/images/icon_hue3a16edcaf2eb4438446839de7be2183_10174_180x180_fill_lanczos_center_2.png	(from https://shiqiang.wang/)
16:53:21	180872/180872	---M--	200	added ('OK')	image/png	etag:%22920afd710e1485ec6bf287ca7f23f29b-ssl%22	https://shiqiang.wang/images/icon_hue3a16edcaf2eb4438446839de7be2183_10174_512x512_fill_lanczos_center_2.png	/Users/xingzheng/Documents/blogDir/shiqiang.wang/images/icon_hue3a16edcaf2eb4438446839de7be2183_10174_512x512_fill_lanczos_center_2.png	(from https://shiqiang.wang/)
16:53:22	1734/1734	---M-Z	200	added ('OK')	application/javascript	etag:%22c6ce8924344d86410dc136e78a40c13b-ssl-df%22	https://shiqiang.wang/js/wowchemy-init.min.a6619d6f25661cae20f56f768201cbd0.js	/Users/xingzheng/Documents/blogDir/shiqiang.wang/js/wowchemy-init.min.a6619d6f25661cae20f56f768201cbd0.js	(from https://shiqiang.wang/)
16:53:24	9710/9710	---M--	200	added ('OK')	image/jpeg	etag:%22d2c1312471a47e1bbda92321a65b97db-ssl%22	https://shiqiang.wang/authors/admin/avatar_hu7018b4dfe995b4bc308360600ce222a2_61589_270x270_fill_q75_lanczos_center.jpg	/Users/xingzheng/Documents/blogDir/shiqiang.wang/authors/admin/avatar_hu7018b4dfe995b4bc308360600ce222a2_61589_270x270_fill_q75_lanczos_center.jpg	(from https://shiqiang.wang/)
